id,Age,Working_class,fnlwgt,education,education_num,marital_status,Occupation,relationship,race,gender,capital_gain,capital_loss,hours_per_week,native_country,earning
24,23, Private,194102, Bachelors,13, Never-married, Exec-managerial, Unmarried, White, Male,0,0,40, United-States,1
25,24, Private,47791, HS-grad,9, Never-married, Other-service, Unmarried, White, Female,0,0,32, United-States,1
26,28, Local-gov,33662, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,7298,0,40, United-States,0
27,54, Private,319697, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States,1
28,49, Self-emp-not-inc,155659, 5th-6th,3, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States,0
29,25, Private,190418, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,30, Canada,1
30,51, ?,203015, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States,1
31,60, ?,124487, Some-college,10, Divorced, ?, Not-in-family, White, Female,0,0,40, United-States,0
32,23, Private,403107, 5th-6th,3, Never-married, Other-service, Own-child, White, Male,0,0,40, El-Salvador,1
33,32, Private,154571, Some-college,10, Never-married, Other-service, Other-relative, Asian-Pac-Islander, Male,0,0,40, ?,1
34,32, Private,133861, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,13550,0,48, United-States,0
35,52, Self-emp-inc,181855, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Other, Male,99999,0,65, United-States,0
36,77, Self-emp-inc,192230, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1
37,25, Private,111675, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,43, United-States,1
38,21, Private,216070, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,46, United-States,0
39,43, Private,128170, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,7688,0,40, United-States,0
40,37, Local-gov,177277, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0
41,26, Private,192302, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,25, United-States,1
42,37, Private,342480, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States,0
43,62, Self-emp-not-inc,215789, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,50, United-States,0
44,49, Self-emp-inc,34998, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States,1
45,25, Private,299908, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Black, Female,0,0,40, United-States,0
46,77, Private,117898, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,0
47,20, Private,224640, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States,1
48,21, Private,209483, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,20, United-States,1
49,42, Local-gov,175642, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,99999,0,40, United-States,0
50,34, Private,345705, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,1977,50, United-States,0
51,28, Private,429507, Assoc-acdm,12, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States,1
52,58, Private,187487, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,1
53,28, State-gov,52636, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1
54,53, Private,189511, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,1
55,73, Private,198526, HS-grad,9, Widowed, Other-service, Other-relative, White, Female,0,0,32, United-States,1
56,50, Private,134766, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,50, United-States,0
57,48, Private,216214, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,1
58,40, Private,229148, 12th,8, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, Jamaica,1
59,19, Private,184737, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,1721,40, United-States,1
60,51, Private,111939, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,0
61,21, Private,307371, Some-college,10, Never-married, Protective-serv, Own-child, White, Male,0,0,15, United-States,1
62,47, Private,54260, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,60, United-States,0
63,42, Private,202872, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,12, United-States,1
64,45, Private,117556, Some-college,10, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,32, United-States,1
65,33, Private,192644, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,90, United-States,0
66,47, Private,97176, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,1
67,41, Private,373469, Assoc-acdm,12, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,1
68,54, Private,35576, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,2415,50, United-States,0
69,20, Private,258298, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States,1
70,34, Private,155151, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
71,25, Private,51201, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States,1
72,38, Private,226106, Some-college,10, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States,1
73,49, Local-gov,226871, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States,0
74,30, Private,66278, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,1
75,21, Private,206861, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,20, ?,1
76,19, Private,219867, HS-grad,9, Never-married, Adm-clerical, Other-relative, White, Female,0,0,35, United-States,1
77,38, Self-emp-inc,98360, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,0
78,34, Local-gov,188245, HS-grad,9, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,35, United-States,1
79,35, Private,209993, 11th,7, Separated, Priv-house-serv, Unmarried, White, Female,0,0,8, Mexico,1
80,28, Self-emp-not-inc,183523, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Hungary,1
81,54, Private,115912, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,1
82,33, Private,35378, Bachelors,13, Married-civ-spouse, Sales, Wife, White, Female,0,0,45, United-States,0
83,33, Private,162572, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,40, United-States,0
84,42, Self-emp-not-inc,64631, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,0
85,20, ?,206671, Some-college,10, Never-married, ?, Own-child, White, Male,1055,0,50, United-States,1
86,40, Federal-gov,77332, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States,1
87,44, Local-gov,136986, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,35, United-States,0
88,42, Self-emp-not-inc,79036, Bachelors,13, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,65, United-States,1
89,55, Local-gov,190091, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,0
90,24, Private,508548, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States,1
91,20, Private,411862, Assoc-voc,11, Never-married, Other-service, Not-in-family, White, Male,0,0,30, United-States,1
92,28, Private,31493, Bachelors,13, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States,0
93,26, Private,196805, Some-college,10, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,65, United-States,1
94,40, Private,69333, Bachelors,13, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States,1
95,35, Private,270059, Some-college,10, Divorced, Sales, Unmarried, White, Female,0,0,30, United-States,1
96,29, Private,203833, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, United-States,1
97,28, Local-gov,167536, Assoc-acdm,12, Widowed, Prof-specialty, Unmarried, White, Male,0,0,40, United-States,1
98,20, ?,229843, Some-college,10, Never-married, ?, Not-in-family, Black, Female,0,0,20, United-States,1
99,23, Private,384651, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,1
100,46, Private,324601, 1st-4th,2, Separated, Machine-op-inspct, Own-child, White, Female,0,0,40, Guatemala,1
101,37, Self-emp-not-inc,82540, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, United-States,0
102,64, Private,188659, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,20, United-States,0
103,33, Self-emp-not-inc,67482, Assoc-voc,11, Divorced, Other-service, Unmarried, White, Female,0,0,99, United-States,1
104,35, Local-gov,33943, Some-college,10, Married-civ-spouse, Protective-serv, Husband, Other, Male,0,0,40, United-States,0
105,20, Private,266400, Some-college,10, Never-married, Prof-specialty, Own-child, White, Female,0,0,48, United-States,1
106,45, Local-gov,238386, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,0
107,38, Private,100295, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,50, Canada,0
108,59, Self-emp-inc,255822, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States,1
109,31, Private,200246, 9th,5, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States,1
110,52, Private,180195, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,0
111,30, Private,363296, HS-grad,9, Never-married, Handlers-cleaners, Unmarried, Black, Male,0,0,72, United-States,1
112,52, Federal-gov,29623, 12th,8, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States,1
113,35, State-gov,49352, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,38, United-States,1
114,58, Private,168887, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,0
115,30, Private,171598, Bachelors,13, Married-spouse-absent, Sales, Not-in-family, White, Female,0,0,50, United-States,1
116,80, Private,249983, 7th-8th,4, Widowed, Other-service, Not-in-family, White, Female,0,0,24, United-States,1
117,34, ?,286689, Masters,14, Never-married, ?, Not-in-family, White, Male,4650,0,30, United-States,1
118,41, ?,206916, Bachelors,13, Married-spouse-absent, ?, Not-in-family, White, Male,0,0,30, United-States,1
119,31, Private,290964, Assoc-voc,11, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,38, United-States,0
120,21, State-gov,196827, Assoc-acdm,12, Never-married, Tech-support, Own-child, White, Male,0,0,10, United-States,1
121,29, Self-emp-not-inc,160786, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,55, United-States,1
122,46, Private,37718, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White, Male,0,1977,50, United-States,0
123,22, Private,202416, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States,1
124,53, Private,250034, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, United-States,0
125,22, Private,126945, Assoc-voc,11, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,1
126,26, Local-gov,176756, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,75, United-States,0
127,68, Private,339168, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,30, United-States,1
128,37, Private,151835, Prof-school,15, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States,0
129,28, Private,408473, 12th,8, Never-married, Sales, Not-in-family, Black, Male,0,0,40, United-States,1
130,25, Self-emp-not-inc,72338, HS-grad,9, Never-married, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States,1
131,36, Private,203482, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0
132,64, Private,86972, Some-college,10, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States,1
133,42, Private,297266, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,90, United-States,0
134,56, Private,172071, HS-grad,9, Divorced, Other-service, Unmarried, Black, Female,0,0,40, Jamaica,1
135,38, Federal-gov,103323, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,55, United-States,0
136,30, Local-gov,326104, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,0
137,37, Local-gov,188612, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,0
138,37, Private,336598, 5th-6th,3, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,36, Mexico,1
139,31, Self-emp-inc,31740, Assoc-voc,11, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,55, United-States,1
140,37, Private,188377, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States,1
141,26, Private,178140, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,0,0,45, United-States,0
142,34, Private,40067, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,1
143,52, Private,186826, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Male,0,1564,40, United-States,0
144,43, Self-emp-inc,196945, HS-grad,9, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,78, Thailand,1
145,25, Private,132749, 11th,7, Divorced, Other-service, Unmarried, White, Female,0,0,12, United-States,1
146,49, Private,204629, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,0
147,67, Self-emp-not-inc,141797, 7th-8th,4, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1
148,27, Private,193898, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,50, United-States,1
149,41, Private,265266, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,1
150,21, ?,171156, Some-college,10, Never-married, ?, Not-in-family, White, Female,0,0,35, United-States,1
151,26, Private,82488, Masters,14, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,40, Philippines,0
152,57, Self-emp-inc,208018, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
153,81, Private,164416, Prof-school,15, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States,0
154,69, Private,135891, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,7, United-States,0
155,34, Private,117963, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
156,53, Private,304504, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1887,45, United-States,0
157,67, ?,101761, Some-college,10, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States,0
158,20, Private,41432, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,46, United-States,1
159,50, Self-emp-not-inc,156951, Assoc-acdm,12, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3103,0,40, United-States,0
160,49, Local-gov,197371, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States,0
161,58, Private,373344, 1st-4th,2, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States,1
162,23, Private,277328, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,32, Cuba,1
163,34, Private,118551, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States,1
164,54, Private,118793, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States,1
165,22, Private,203894, Some-college,10, Never-married, Transport-moving, Not-in-family, White, Female,0,0,24, United-States,1
166,33, Private,215306, Assoc-voc,11, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Cuba,1
167,35, Private,179579, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,48, United-States,0
168,26, Private,274724, Some-college,10, Never-married, Other-service, Other-relative, White, Male,0,0,40, Nicaragua,1
169,50, Private,398625, 11th,7, Widowed, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States,1
170,29, Private,282944, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,0
171,42, Private,221172, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,0
172,18, Private,282394, Some-college,10, Never-married, Sales, Own-child, Black, Female,0,0,21, United-States,1
173,52, Private,204584, Bachelors,13, Married-spouse-absent, Exec-managerial, Not-in-family, White, Female,0,0,42, United-States,1
174,33, Private,131776, Bachelors,13, Divorced, Prof-specialty, Unmarried, White, Female,914,0,40, Germany,1
175,27, Self-emp-not-inc,420054, HS-grad,9, Never-married, Craft-repair, Unmarried, White, Male,9562,0,50, United-States,0
176,22, ?,22966, Some-college,10, Married-civ-spouse, ?, Husband, White, Male,0,0,6, United-States,1
177,42, Self-emp-not-inc,165815, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,52, United-States,0
178,49, Private,178749, Masters,14, Married-spouse-absent, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,1
179,55, Private,223613, 1st-4th,2, Divorced, Priv-house-serv, Unmarried, White, Female,0,0,30, Cuba,1
180,35, Private,103605, 11th,7, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States,1
181,48, Self-emp-not-inc,30840, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,5013,0,45, United-States,1
182,40, Private,189666, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,45, United-States,1
183,38, Federal-gov,91716, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,1
184,27, Private,238859, Assoc-voc,11, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,1
185,29, Self-emp-not-inc,128516, Assoc-acdm,12, Widowed, Sales, Unmarried, White, Female,0,0,40, United-States,0
186,58, Private,197642, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,39, United-States,1
187,22, Private,309178, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States,1
188,41, Federal-gov,207685, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States,0
189,27, Private,199172, Bachelors,13, Never-married, Protective-serv, Own-child, White, Female,0,0,40, United-States,1
190,24, State-gov,154432, Bachelors,13, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,35, United-States,1
191,50, Private,189107, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,1
192,31, State-gov,29152, 12th,8, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States,1
193,56, Private,32446, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
194,20, Local-gov,325493, HS-grad,9, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,40, United-States,1
195,44, Local-gov,107845, Assoc-acdm,12, Divorced, Protective-serv, Not-in-family, White, Female,0,0,56, United-States,0
196,35, Private,410034, Some-college,10, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States,1
197,23, Private,145111, HS-grad,9, Never-married, Transport-moving, Unmarried, White, Male,0,0,50, United-States,1
198,64, ?,193043, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States,1
199,30, Private,467108, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,44, United-States,0
200,27, Private,152231, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States,1
201,44, Federal-gov,151933, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1485,40, United-States,0
202,25, Private,278404, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States,1
203,24, Private,123983, 11th,7, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,40, Vietnam,1
204,31, State-gov,151763, Masters,14, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,25, United-States,1
205,26, Federal-gov,393728, Some-college,10, Divorced, Adm-clerical, Own-child, White, Male,0,0,24, United-States,1
206,17, ?,34088, 12th,8, Never-married, ?, Own-child, White, Female,0,0,25, United-States,1
207,54, ?,187221, 7th-8th,4, Never-married, ?, Not-in-family, White, Female,0,0,25, United-States,1
208,18, Private,115443, 11th,7, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,25, United-States,1
209,43, Private,293176, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,0
210,47, Private,431515, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
211,71, ?,125101, Assoc-voc,11, Widowed, ?, Not-in-family, White, Female,0,0,40, United-States,1
212,29, Private,114982, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,0
213,39, Self-emp-not-inc,107233, HS-grad,9, Never-married, Craft-repair, Other-relative, Amer-Indian-Eskimo, Male,0,0,40, United-States,1
214,49, Private,268234, 10th,6, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1
215,21, ?,107801, Some-college,10, Never-married, ?, Own-child, White, Female,0,0,6, United-States,1
216,60, Private,156616, HS-grad,9, Widowed, Other-service, Unmarried, Black, Female,0,0,40, United-States,1
217,39, Self-emp-not-inc,142573, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,25, United-States,1
218,25, Private,135645, Masters,14, Never-married, Sales, Not-in-family, White, Male,0,0,20, United-States,1
219,30, Self-emp-not-inc,167990, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,65, United-States,0
220,52, Self-emp-inc,311259, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,0
221,44, Private,125461, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, United-States,0
222,26, Private,22328, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,0
223,40, Private,99679, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,3103,0,43, United-States,0
224,19, Private,141868, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States,1
225,49, Private,122493, HS-grad,9, Widowed, Tech-support, Unmarried, White, Male,0,0,40, United-States,1
226,47, Local-gov,122206, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,20, United-States,0
227,39, Private,190466, HS-grad,9, Divorced, Craft-repair, Own-child, White, Male,2174,0,40, United-States,1
228,19, Private,351040, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Puerto-Rico,1
229,49, Private,122385, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,0
230,48, Self-emp-inc,38240, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States,0
231,48, Self-emp-inc,193188, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,0
232,47, Private,326857, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,5013,0,40, United-States,1
233,24, Private,353010, Bachelors,13, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,65, United-States,1
234,20, Private,56322, Some-college,10, Never-married, Other-service, Own-child, White, Male,2176,0,25, United-States,1
235,31, Private,128065, 11th,7, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,55, United-States,0
236,53, Private,47396, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,50, United-States,0
237,52, Private,202930, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States,0
238,62, Private,92178, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,1
239,45, Private,223999, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,1848,40, United-States,0
240,27, Private,31757, Assoc-voc,11, Never-married, Craft-repair, Own-child, White, Male,0,0,38, United-States,1
241,35, Private,142874, Assoc-acdm,12, Married-spouse-absent, Sales, Own-child, Black, Female,0,0,36, United-States,1
242,39, Self-emp-not-inc,193026, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States,0
243,40, Private,85019, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45, ?,0
244,42, Self-emp-inc,50122, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States,1
